date,return
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-26,-0.00020565955622579211
2018-03-27,-0.003560565539185971
2018-03-28,0.0023699133233625975
2018-03-29,0.0038630396726283623
2018-03-30,0.00589987992704277
2018-04-02,0.0066149470362336215
2018-04-03,-0.005596639007140013
2018-04-04,0.0038491114813242844
2018-04-05,0.006680212686264215
2018-04-06,0.002353526276118785
2018-04-09,0.0003096283754117259
2018-04-10,-0.002060257957567047
2018-04-11,-0.004260375135282741
2018-04-12,0.012139263510020216
2018-04-13,0.002169399077995182
2018-04-16,0.011225848099384966
2018-04-17,-0.0002345084994098971
2018-04-18,0.002615450115166332
2018-04-19,0.005834150171898096
2018-04-20,0.002750824474226424
2018-04-23,0.002172726014606219
2018-04-24,-0.012511927643388182
2018-04-25,0.0019727840032145475
2018-04-26,0.001677471525749658
2018-04-27,-0.006838644596926643
2018-04-30,-0.003282100134287114
2018-05-01,-0.0009914562221098743
2018-05-02,0.004491986899575297
2018-05-03,-0.011034333709623732
2018-05-04,0.0009674509128217209
2018-05-07,0.0016102040941161863
2018-05-08,0.0006193996218700076
2018-05-09,-0.011149946708745159
2018-05-10,0.0020768896746764173
2018-05-11,0.00674892003545884
2018-05-14,-0.0005442437380658487
2018-05-15,-0.006326492296048516
2018-05-16,-0.005855465992322904
2018-05-17,0.00496635804750492
2018-05-18,0.0017214374071790233
2018-05-21,0.012755118466413048
2018-05-22,-0.0029297545530619718
2018-05-23,0.0018845740276108678
